,en,zh_TW
story.Prologue_Nightmare_3.misc_letters.text.4a861b35acb076cf06695d42b4e8cb5f07eeee74,Unsealed golden letters scattered across the floor.,開封的金色信封散落一地。
story.Prologue_Nightmare_3.misc_letters.text.51e3f0c277d985fbedd0fd18b052b01466524c7a,They seem to be rituals with various titles.,看起來是有著多種名稱的儀式。
story.Prologue_Nightmare_3.misc_letters.text.eada78379c61acdac230cc52647b8459adaea322,"""The Mirror Ritual""","""鏡之儀式"""
story.Prologue_Nightmare_3.misc_letters.text.4a594ef5e6a7f9f9c49da1216eea2d84331a3ce3,"""The Ritual of the Well""","""古井儀式"""
story.Prologue_Nightmare_3.misc_letters.text.53afec55e4496356222efe92d559a643f1bf054f,"""The Bus Ritual""","""巴士儀式"""
story.Prologue_Nightmare_3.misc_letters.text.1cbd889f38d9757d9ed8f5261b0e099481e9aa4e,"""The Three-Room Ritual""","""三房儀式"""
story.Prologue_Nightmare_3.misc_letters.text.a1fbdcf25c86b182c744a49a6c9fe6d1efa58baf,This is the one I did...,這個是我完成的…
story.Prologue_Nightmare_3.misc_letters.text.56f65e6d77a3baffe6432e1e7ba1e5fad44ca569,These all come in golden letters... do they all work?,它們都裝在金色的信封中…它們都是真的嗎？
story.Prologue_Nightmare_3.misc_letters.text.d3806871ffc3229d6eb69004d55c8e2a90b07111,I should look into this when I get home.,我應該回家後看看。
story.Prologue_Nightmare_3.misc_windows.text.261512b2b1e20c8b365f37a65106b7883a8100b2,It's too dark to see anything on the other side.,暗到沒辦法看到另一側。
story.Prologue_Nightmare_3.move_next.text.8cc680251dd7f2a6da2516f40686bbc8d96568f4,You think you can leave?,妳以為妳可以離開嗎？
story.Prologue_Nightmare_3.move_next.text.39613520b4600a689685f68f629eddc1d5bf3c8c,"Now that you can prove that these rituals work, you have no way of going back to tell anyone.",既然妳證明了這個儀式是真的，那麼妳也會無法回去告訴任何人。
story.Prologue_Nightmare_3.move_next.text.a36933294f6f9383885a65b20551639ceb239c20,The knowledge will die with you.,這項知識會隨妳而死。
story.Prologue_Nightmare_3.move_next.text.6fab6dc67090833d316f2770d6f370576d44ed1c,"That's... that's a lie, right?",那…不是真的，對吧？
story.Prologue_Nightmare_3.move_next.text.e0624ba536e6dfd5a378a1f04395f0cfb3e9a8ac,You're just trying to scare me.,你只是在嚇我。
story.Prologue_Nightmare_3.move_return.text.e808c8a48d1fae99bf0b3c1936f20434ccc1943a,The door is stuck. It won't open.,門被卡住了。沒辦法打開。
