,en,zh_TW
story.Prologue_Ending_K7_3.item_scissors_on_boxes.text.a602b1cca340c1a3679faf0b6807856055966ac7,It could be dangerous to topple these boxes over.,把箱子翻倒會很危險。
story.Prologue_Ending_K7_3.misc_boxes.text.e2287247ae230c1d7a094f2e87c8c8363f3bfb01,A large pile of boxes that goes all the way to the ceiling.,一大疊疊到天花板的箱子。
story.Prologue_Ending_K7_3.misc_ending.text.aa3327e13a26c1756909327cd2861e780ce4f825,This room feels different...,這房間感覺不太一樣…
story.Prologue_Ending_K7_3.misc_ending.text.692c8d99781b78fab38e0b4d51790812d1a5067e,Is it safe...?,這樣安全嗎…？
story.Prologue_Ending_K7_3.misc_ending.text.85f4ddd3b3d3c935d2cae46d77aeef11dac15b93,"Ah, there you are.",啊，妳在這啊。
story.Prologue_Ending_K7_3.misc_ending.text.831be1ceb15af1bda090e0f497ddb36de247c848,Who are you...? What is this place?,你是誰…？這裡是哪裡？
story.Prologue_Ending_K7_3.misc_ending.text.f5d87174cba18bc7975ce1d71c9f0ba86182bcf4,Straight to the point I see.,啊，一針見血。
story.Prologue_Ending_K7_3.misc_ending.text.bcbcc8d9aa980991960105043be94d68cb30e607,"Well, this isn't quite your world.",是這樣的，這裡不是妳們的世界。
story.Prologue_Ending_K7_3.misc_ending.text.52e282098784499e43fc5b2da53eb9e9e509b313,...What?,…什麼？
story.Prologue_Ending_K7_3.misc_ending.text.3176465438f6d8d39b96a8776867f600ab1f1532,"Let's not get into it. You're doing a ritual, correct?",不需要深究。你剛剛在舉行儀式，沒有錯吧？
story.Prologue_Ending_K7_3.misc_ending.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...,…
story.Prologue_Ending_K7_3.misc_ending.text.f57fbd95c5ebc5a3995c440e97e230c7d690c301,"Stop, and go home.",停止它，然後回家。
story.Prologue_Ending_K7_3.misc_ending.text.ece4eb1a5ced86da1150e20101e5bd1068f6c4ec,All of you. I mean it.,妳們全部。我是認真的。
story.Prologue_Ending_K7_3.misc_ending.text.c35a7144b4f97af8591d264ce48f6a7a9f60ea17,Excuse me...?,你說什麼…？
story.Prologue_Ending_K7_3.misc_ending.text.43998eb0757e3769f756e957c93150779fe477b5,"Kat, if you keep doing what you're doing, things won't end well.",凱特，如果妳繼續這麼下去，下場不會很好。
story.Prologue_Ending_K7_3.misc_ending.text.61d70e924fe83fe049ccb68f73e2a2dadac246fe,"Do you know this person, Kat?",妳認識他嗎，凱特？
story.Prologue_Ending_K7_3.misc_ending.text.b2ff0612ad27bc8a1a8b57cfec905752c9f9048a,Not at all.,完全沒見過。
story.Prologue_Ending_K7_3.misc_ending.text.15803390f5b109234e9d5b5cddc5bf1d3ebe9df1,"They seem to know you, though.",可是他似乎知道妳是誰。
story.Prologue_Ending_K7_3.misc_ending.text.cb47725c034d9671acdb88376ba39a10b70240d2,What is it with everyone warning me lately?,為什麼大家最近一直給我警告？
story.Prologue_Ending_K7_3.misc_ending.text.b8d42716aca4de249568d45f6b086cc0985e5f89,I need some answers.,我需要一些解答。
story.Prologue_Ending_K7_3.misc_ending.text.339c92daf8c9798fd888e189233a2b8d5ad501fd,"So far, you haven't-",而直至如此，妳還沒有-
story.Prologue_Ending_K7_3.misc_ending.text.8256861f38b20b7bf550858ea82a503eb84237a1,Stop! Don't cross that line.,不要！別再說下去了。
story.Prologue_Ending_K7_3.misc_ending.text.a02d057a764ee283c5f00e69709935565643195a,Sigh...,哎…
story.Prologue_Ending_K7_3.misc_ending.text.5e9f7a1078a54450588dce82045ae321f5761a12,"If you haven't realized by now, the ritual works.",如果妳還沒有意會過來，儀式是有用的。
story.Prologue_Ending_K7_3.misc_ending.text.ed0bd51d37693a1499bc48115bf86c09e621ae2b,It will take you somewhere you'll never return from.,它會把妳帶到妳永遠無法回來的地方。
story.Prologue_Ending_K7_3.misc_ending.text.deff0e9f3d4be7227935b09e148bf50963d6f926,If it works then... I should definitely finish it.,如果它有用…我一定會完成它。
story.Prologue_Ending_K7_3.misc_ending.text.4a19202490b32a8ed5c48e7e490d11198360e42c,"Kat, what are you saying...?",凱特，妳在說什麼…？
story.Prologue_Ending_K7_3.misc_ending.text.564fa9b5e036ab452b95eb88a75818c0b9d4d19e,"Sorry, but I can't listen to this person. I have my reasons for doing this.",抱歉，但是我無法相信這個人。我做這些事是有理由的。
story.Prologue_Ending_K7_3.misc_ending.text.68f04ba1456216481752605fac39f4c8c28a4696,I don't know how much you value what you have right now but...,我不知道妳怎麼看待妳現在擁有的…
