,en,zh_TW
story.Prologue_Nightmare_1.item_no_keyhole.text.9dd460bc95000e1f299015456327077dd14dd8c2,"Interestingly, there's no keyhole on this side.",有趣的是，門的這一邊沒有鑰匙孔。
story.Prologue_Nightmare_1.misc_paper.text.8610182f2c37f0995b8ba067dedb82148e1d1ff5,A paper slip with some rules and regulations.,一張寫著規定和規則的紙張。
story.Prologue_Nightmare_1.misc_paper.text.782cd80d08292bfbb376121f4ab200e062fd87a5,"""No running in the hallways.
No screaming during recess.
No escaping, ever.""","""不得於走廊上奔跑。
不得於下課時間大聲喧嘩。
不得逃離，絕對不行"""
story.Prologue_Nightmare_1.misc_plaque1.text.f5381af49ec3a30259aee8b18c07e4dd0d5abe48,"""Classroom 4-A""","""4-A 教室"""
story.Prologue_Nightmare_1.misc_plaque2.text.a44a0f186901e88a6a6dd5774d54a376c131e1a0,"""Classroom 56-W""","""56-W 教室"""
story.Prologue_Nightmare_1.misc_windows.text.261512b2b1e20c8b365f37a65106b7883a8100b2,It's too dark to see anything on the other side.,暗到沒辦法看到另一側。
story.Prologue_Nightmare_1.move_enter.text.de5a1e8f12fe2f0424d8fb2d40d0f3e495f33be1,Huh? What's this?,嗯？這是什麼？
story.Prologue_Nightmare_1.move_enter.text.95cafd41d8670cd34f6c0e7215090f8a59e23621,Am I back at the school already?,我已經回到學校了嗎？
story.Prologue_Nightmare_1.move_next.text.a3d06d74dd389a32ea826f4f2b14f55c53e5a714,"Let's have some fun, shall we? Entertain me for a while, and in return you get...",讓我們來玩玩，好嗎？娛樂娛樂我，作為回報，你會…
story.Prologue_Nightmare_1.move_next.text.1b3f141ab87179d0755abc1d4da67f0c04e3ab7c,Nothing.,什麼也得不到。
story.Prologue_Nightmare_1.move_next.text.73fef01e230300ae6fc10ffd739157b067709157,Huh?,嗯？
story.Prologue_Nightmare_1.move_next.text.65e1a38dec4fca259fb275e92535a31acb8fa965,Who's talking...?,誰在說話…？
story.Prologue_Nightmare_1.move_return.text.40a8292bbe7cc56ffb87a2df51475b37a4aa9127,The door won't open. It seems to be locked.,門打不開。看起來被鎖住了。
