,en,zh_TW
story.Prologue_Classroom_2.event_boxpuzzle_fail.text.69100deb383c63fa47097b41678ee82dda25b9b6,Maybe I'll explore somewhere else first.,也許我該先探索別的地方。
story.Prologue_Classroom_2.event_boxpuzzle_success.text.8076c96b7509eb46a16e4c755e8df384da410bbd,There we go.,好了。
story.Prologue_Classroom_2.item_candles_on_desks_bottom.text.40e8080aff3cc13b95f7f089bb21ca43f2a8d889,Candles are already set here.,蠟燭已經放好了。
story.Prologue_Classroom_2.item_candles_on_desks_bottom.text.eb3e3f7747ecf8a904b7d77bf50328b7645afe7f,It's not time for that yet.,現在還不是時候。
story.Prologue_Classroom_2.item_candles_on_desks_top.text.40e8080aff3cc13b95f7f089bb21ca43f2a8d889,Candles are already set here.,蠟燭已經放好了。
story.Prologue_Classroom_2.item_candles_on_desks_top.text.eb3e3f7747ecf8a904b7d77bf50328b7645afe7f,It's not time for that yet.,現在還不是時候。
story.Prologue_Classroom_2.item_chalk.text.004ccd56b002de2e15a0e5e583d482e9b2363b6e,The path is already drawn.,路徑已經畫好了。
story.Prologue_Classroom_2.item_chalk.text.948d8b2c36e66fc40d736faa8415a54c32e2e197,Not yet. I'd rather make sure I have everything I need first.,還沒。我要先確定我有所有必要的東西。
story.Prologue_Classroom_2.item_chalk.text.ccb1964d634b8a6efbb6a1762c66e590109e0ed9,Not yet. I want to finish preparing the classrooms first.,還沒。我要先把教室準備好。
story.Prologue_Classroom_2.item_chalk_get.text.eff38eecc6b039f10909ae658ca8c0c460474498,Some broken chalk.,斷掉的粉筆。
story.Prologue_Classroom_2.item_chalk_get.choice.text.e8d32d47491e2462d1e83b81526638ac486785c4,Take it?,拿走嗎？
story.Prologue_Classroom_2.item_chalk_get.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,是
story.Prologue_Classroom_2.item_chalk_get.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,否
story.Prologue_Classroom_2.item_chalk_on_chalkboard.text.f65fd7db1d4855f7802d390a5a1ae1656c3ad1bb,I'd rather not get into anymore trouble than I already am.,我不想再惹上更多麻煩。
story.Prologue_Classroom_2.item_curtains_on_window.text.b3dffab64fcd711576e3b12c31a490e5ea295f65,This should do the trick.,這樣應該就行了。
story.Prologue_Classroom_2.item_curtains_on_window.text.7a97934e13227abf359e89050b89431cb3a692c1,Perfect!,完美！
story.Prologue_Classroom_2.item_curtains_on_window.text.76c29a93fe94eeb00efa716fd7ef16db3b05efa0,Totally. Nobody will even notice.,沒錯。沒有人會注意到。
story.Prologue_Classroom_2.item_hair_on_candle.text.7c6267ee4264c3380f5ba82b281c8302568043f0,Let's do this.,來吧。
story.Prologue_Classroom_2.item_hair_on_candle.text.c524cdf0f6679406bd9a3e0078b2492f6feb9d2f,Not yet.,還沒。
story.Prologue_Classroom_2.item_lighter_on_candles_bottom.text.4fcccf1e93fb221dd6e1bcaf407973a72f2ae004,The candles are already lit.,蠟燭已經點燃了。
story.Prologue_Classroom_2.item_lighter_on_candles_bottom.text.3adfe6b1f1e9026c0734b1e39793ba66e53343ed,Burning the school down is not part of the ritual.,把學校燒掉不是儀式的一部分。
story.Prologue_Classroom_2.item_lighter_on_candles_top.text.4fcccf1e93fb221dd6e1bcaf407973a72f2ae004,The candles are already lit.,蠟燭已經點燃了。
story.Prologue_Classroom_2.item_lighter_on_candles_top.text.3adfe6b1f1e9026c0734b1e39793ba66e53343ed,Burning the school down is not part of the ritual.,把學校燒掉不是儀式的一部分。
story.Prologue_Classroom_2.item_lighter_on_window1.text.4f991da92f6952d95a516d344927d59a4e7bee2e,I think I'll pass on burning the school down today.,我想我不打算今天把學校燒掉。
story.Prologue_Classroom_2.item_lighter_on_window2.text.4f991da92f6952d95a516d344927d59a4e7bee2e,I think I'll pass on burning the school down today.,我想我不打算今天把學校燒掉。
story.Prologue_Classroom_2.item_lighter_on_window3.text.4f991da92f6952d95a516d344927d59a4e7bee2e,I think I'll pass on burning the school down today.,我想我不打算今天把學校燒掉。
story.Prologue_Classroom_2.item_scissors_on_plant.text.32c9aa0ef29cbdc3d781c065a4a0f57fba68afcd,It's already done.,已經完成了。
story.Prologue_Classroom_2.item_scissors_on_plant.text.e3c35488f648b0db0375773a5a07c86be37d04e0,This isn't the time for that.,現在不是做這件事的時候。
story.Prologue_Classroom_2.misc_book.text.dd1d7ed1aa2df3efa0ee8e44e54838d3a104f5cb,A geography textbook.,地理課本。
story.Prologue_Classroom_2.misc_books.text.ecafba81262c9d73e1722128e1b05b057af90b0f,Some textbooks you don't care about.,妳沒興趣的課本。
story.Prologue_Classroom_2.misc_chalkboard.text.996c7ffde7f4de6e04435eeeafaf0751c8d69a1c,A clean chalkboard.,乾淨的黑板。
story.Prologue_Classroom_2.misc_desk_bottom.text.9eb16580a197d2cf1a69fc82764f982b5be5d5e7,A wooden desk.,木桌。
story.Prologue_Classroom_2.misc_desk_bottom.text.240b1df976eaaf6ed80de6eb49cbd9ded2bab030,The candle burns warmly.,蠟燭正溫暖地燃燒。
story.Prologue_Classroom_2.misc_desk_bottom.text.33515fb7411e849e7b38188c94b3b3198fd7633e,The candle is unlit.,蠟燭被熄滅了。
story.Prologue_Classroom_2.misc_desk_top.text.9eb16580a197d2cf1a69fc82764f982b5be5d5e7,A wooden desk.,木桌。
story.Prologue_Classroom_2.misc_desk_top.text.240b1df976eaaf6ed80de6eb49cbd9ded2bab030,The candle burns warmly.,蠟燭正溫暖地燃燒。
story.Prologue_Classroom_2.misc_desk_top.text.33515fb7411e849e7b38188c94b3b3198fd7633e,The candle is unlit.,蠟燭被熄滅了。
story.Prologue_Classroom_2.misc_globe.text.a3e30442cc236e50a8b155b5f286e56459c8ac7c,A model of Earth. It's fun to spin it.,地球模型。轉起來很好玩。
story.Prologue_Classroom_2.misc_paper.text.3ccebefbe46e09f3e9205e70893183bc46aea04e,A paper slip with a list of regulations.,印著校規的紙張。
story.Prologue_Classroom_2.misc_paper.text.50d5484ff01638306d1dc9ba7a7a97a994d52e35,"No one reads these, why do they bother?",沒有人會讀，為什麼要搞得這麼麻煩？
story.Prologue_Classroom_2.misc_pinboard.text.33e38a6ca97d020cf943319b0b6050a281afb2ca,Some classroom attendance sheets and schedules.,出席表和課表。
story.Prologue_Classroom_2.misc_plant.text.7219399b824ee80374fd4252111163dbe7afa70c,A happy green plant.,快樂的綠色植物。
story.Prologue_Classroom_2.misc_plant.text.125dd56afe0d4478e1a7f34c9ec48fc2a7e4bd6c,The plant is no longer happy.,植物不再快樂了。
story.Prologue_Classroom_2.misc_podium.text.760df8526ebfc0a8d9b9154494a4cd9c6baf7726,The teacher's podium.,教師的講台。
story.Prologue_Classroom_2.misc_podium.text.83c315a9d18485836886e4a04bb77f356db9f464,There's a useless history book as well.,還有沒用的歷史課本。
story.Prologue_Classroom_2.misc_shelf.text.bd28c802e52a8bcdea8b40a5aeb08aab922efd18,Some boring textbooks.,無聊的課本。
story.Prologue_Classroom_2.misc_shelf2a.text.bdec03e7317af0a79fa94cc26f0693db67eac16f,"Some very thick, school-related books.",非常厚重、跟學校有關的書本。
story.Prologue_Classroom_2.misc_shelf2b.text.5976341a7cf838c5d3c59c8187b2f487abe54dc7,Some books and... chalk.,書本和…粉筆。
story.Prologue_Classroom_2.misc_shelf2b.choice.text.e8d32d47491e2462d1e83b81526638ac486785c4,Take it?,拿走嗎？
story.Prologue_Classroom_2.misc_shelf2b.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,是
